locationid1,ywp_year,Belgium,France,Netherlands,Portugal,SU_external_type__$,SU_external_type__I,SU_external_type__L,SU_external_type__M,SU_external_type__O,SU_external_type__T,SU_external_type__U,SU_external_type__W,SU_external_type__X,SU_external_type__Y,Soviet Union,Spain,US_external_type__$,US_external_type__I,US_external_type__L,US_external_type__M,US_external_type__O,US_external_type__T,US_external_type__U,US_external_type__W,US_external_type__X,US_external_type__Y,United Kingdom,United States,actorID,bc_id,bc_name,bwd_id,bwd_name,conflictID,country1,external_alleged,external_exists,external_type__$,external_type__I,external_type__L,external_type__M,external_type__O,external_type__T,external_type__U,external_type__W,external_type__X,external_type__Y,locationid2,ywp_id,ywp_name
41.0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624,140,Haiti,244,Government of Haiti - Military faction (Forces of Himmler Rebu and Guy Francois),186,Haiti,,0.0,,,,,,,,,,,,3441,Military faction (Forces of Himmler Rebu and Guy Francois)
41.0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,140,Haiti,251,Government of Haiti - Military faction (Forces of Raoul Cédras),186,Haiti,,0.0,,,,,,,,,,,,3485,Military faction (Forces of Raoul Cédras)
52.0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623,134,Trinidad and Tobago,219,Government of Trinidad and Tobago - Jamaat al-Muslimeen,183,Trinidad and Tobago,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3343,Jamaat al-Muslimeen
55.0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,55,297,Grenada - USA,573,Government of Grenada - Government of USA,155,Grenada,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7043,Government of USA
90.0,1975,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1591,139,Guatemala,694,Government of Guatemala - FAR II,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8747,Government of Guatemala
90.0,1976,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1591,139,Guatemala,694,Government of Guatemala - FAR II,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8750,Government of Guatemala
90.0,1977,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,139,Guatemala,694,Government of Guatemala - FAR II,36,Guatemala,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8753,Government of Guatemala
90.0,1978,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1591,139,Guatemala,694,Government of Guatemala - FAR II,36,Guatemala,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,8756,Government of Guatemala
90.0,1979,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,139,Guatemala,694,Government of Guatemala - ORPA,36,Guatemala,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,8763,ORPA
90.0,1980,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,139,Guatemala,694,Government of Guatemala - ORPA,36,Guatemala,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,8764,ORPA
