,target,date,US_midi,UK_midi,NL_midi,BE_midi,FR_midi,SP_midi,PT_midi,SU_midi,COL_MIDI
0,31,1980,1,0,0,0,0,0,0,0,0
1,40,1958,1,0,0,0,0,0,0,0,0
2,40,1959,1,0,0,0,0,0,0,0,0
3,40,1960,1,0,0,0,0,0,0,0,0
4,40,1962,0,0,0,0,0,0,0,1,0
5,41,1963,1,0,0,0,0,0,0,0,0
6,42,1961,1,0,0,0,0,0,0,0,0
7,42,1965,1,0,0,0,0,0,0,0,0
8,42,1966,1,0,0,0,0,0,0,0,0
9,55,1983,1,0,0,0,0,0,0,0,0
10,61,1969,0,1,0,0,0,0,0,0,1
11,90,1987,1,0,0,0,0,0,0,0,0
12,91,1986,1,0,0,0,0,0,0,0,0
13,91,1987,1,0,0,0,0,0,0,0,0
14,91,1988,1,0,0,0,0,0,0,0,0
15,92,1983,1,0,0,0,0,0,0,0,0
16,92,1984,1,0,0,0,0,0,0,0,0
17,92,1985,1,0,0,0,0,0,0,0,0
18,92,1986,1,0,0,0,0,0,0,0,0
19,92,1987,1,0,0,0,0,0,0,0,0
20,92,1988,1,0,0,0,0,0,0,0,0
21,93,1979,1,0,0,0,0,0,0,0,0
22,94,1979,1,0,0,0,0,0,0,0,0
23,95,1959,1,0,0,0,0,0,0,0,0
24,95,1988,1,0,0,0,0,0,0,0,0
25,95,1989,1,0,0,0,0,0,0,0,0
26,95,1990,1,0,0,0,0,0,0,0,0
27,100,1948,1,0,0,0,0,0,0,0,0
28,110,1978,1,0,0,0,0,0,0,0,0
29,145,1979,1,0,0,0,0,0,0,0,0
30,145,1986,1,0,0,0,0,0,0,0,0
31,200,1946,0,0,0,1,0,0,0,0,1
32,200,1947,0,0,0,1,0,0,0,0,1
33,200,1948,0,0,0,1,0,0,0,0,1
34,200,1949,0,0,0,1,0,0,0,0,1
35,205,1985,0,1,0,0,0,0,0,0,1
36,210,1946,0,1,0,0,0,0,0,0,1
37,230,1958,0,0,0,0,1,0,0,0,1
38,265,1953,0,0,0,0,0,0,0,1,0
39,265,1961,0,0,0,0,0,0,0,1,0
40,290,1956,0,0,0,0,0,0,0,1,0
41,310,1956,0,0,0,0,0,0,0,1,0
42,310,1957,0,0,0,0,0,0,0,1,0
43,310,1958,0,0,0,0,0,0,0,1,0
44,315,1968,0,0,0,0,0,0,0,1,0
45,315,1969,0,0,0,0,0,0,0,1,0
46,325,1985,1,0,0,0,0,0,0,0,0
47,339,1946,0,1,0,0,0,0,0,0,1
48,352,1963,0,1,0,0,0,0,0,0,1
49,352,1964,0,1,0,0,0,0,0,0,1
50,352,1974,1,1,0,0,0,0,0,0,1
51,395,1958,0,1,0,0,0,0,0,0,1
52,395,1959,0,1,0,0,0,0,0,0,1
53,411,1969,0,0,0,0,0,1,0,0,1
54,420,1981,1,0,0,0,0,0,0,0,0
55,433,1961,0,0,0,0,0,0,1,0,1
56,433,1962,0,0,0,0,0,0,1,0,1
57,433,1963,0,0,0,0,0,0,1,0,1
58,433,1964,0,0,0,0,0,0,1,0,1
59,433,1965,0,0,0,0,0,0,1,0,1
60,433,1966,0,0,0,0,0,0,1,0,1
61,433,1967,0,0,0,0,0,0,1,0,1
62,433,1968,0,0,0,0,0,0,1,0,1
63,433,1969,0,0,0,0,1,0,1,0,1
64,433,1970,0,0,0,0,0,0,1,0,1
65,433,1971,0,0,0,0,0,0,1,0,1
66,433,1972,0,0,0,0,0,0,1,0,1
67,433,1973,0,0,0,0,0,0,1,0,1
68,434,1991,0,0,0,0,1,0,0,0,1
69,435,1977,0,0,0,0,1,0,0,0,1
70,435,1978,0,0,0,0,1,0,0,0,1
71,435,1979,0,0,0,0,1,0,0,0,1
72,435,1980,0,0,0,0,1,0,0,0,1
73,437,1966,0,0,0,0,1,0,0,0,1
74,438,1970,0,0,0,0,0,0,1,0,1
