ywp_id,ywp_year,ywp_name,actorID,bc_id,conflictID,bc_name,country1,locationid1,country2,locationid2,bwd_id,bwd_name,external_exists,external_alleged,external_name,external_code,external_type,external_type__X,external_type__L,external_type__Y,external_type__W,external_type__M,external_type__T,external_type__$,external_type__I,external_type__O,external_type__U,external_comment
6844,1980,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"In the first week of January 1980 there were approximately 50 000 Soviet troops in Afghanistan, three months later that number had increased to around 85 000. The Soviet troops brought with them all kinds of equipment and weapons, including several squadrons of fighter aircraft and air defence. Their aim was to first establish control over larger cities and major roads, thereafter to deploy troops to the border areas to limit incursion from Pakistan and Iran, and finally to disarm unreliable elements of the Afghan army.   In mid-1980 the Soviets started to remove some of the troops and tanks from Afghanistan. From a total of 1000 tanks in the beginning of the year, the number was down to around 300 in the end of 1980 and the troops were reduced by 5000 men in June 1980. The reduction in troops was compensated by an increase in the number of fighter helicopters and other types of aircraft. At the end of the year there were about 130 Soviet jet fighters in Afghanistan. The Soviet Union also spent a lot of money improving the military infrastructure in Afghanistan, for instance by constructing permanent logistics- and communications facilities and by improving airfields. "
6847,1981,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"The Soviet Army was doing practically all of the fighting against the Mujahideen during 1981 as the Afghan Army was severely weakened. In December, an additional 5000 troops arrived in the country, increasing the total number from 85 000 to 90 000. An increasing number of Afghans received military training in the USSR, and in 1981 the US government estimated that 5500 Afghans received training in the Soviet Union and Eastern Europe. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. The Afghan Prime Minister, Sultan Ali Keshtmand, in a speech in 1981 said that ""we obtain all vital materials and means for the defense of the revolution - that is, food, arms, equipment, oil and other material goods - from the USSR. "
6850,1982,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"The Soviet Army was doing practically all of the fighting against the Mujahideen during 1982 as the Afghan Army was severely weakened. During 1982, an additional 15 000 Soviet troops arrived in the country, increasing the total number from 90 000 to 105 000. An increasing number of Afghans received military training in the USSR, and in 1982 the US government estimated that 18 000 Afghans received training in the Soviet Union and Eastern Europe. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. The Afghan Prime Minister, Sultan Ali Keshtmand, in a speech in 1981 said that ""we obtain all vital materials and means for the defense of the revolution - that is, food, arms, equipment, oil and other material goods - from the USSR. "
6853,1983,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"The Soviet Army continued to do a lot of the fighting in 1983, as the Afghan Army had persisting manpower problems. Soviet troops were estimated to number around 110 000 in mid-1983. An increasing number of Afghans received military training in the USSR. There is no information for 1983, but in 1982 the US government estimated that 18 000 Afghans received training in the Soviet Union. British sources estimated in 1983 that the Soviets had 500 to 600 helicopters in Afghanistan, and in December 1982 Financial Times reported that the Soviets were deploying 1,420 tanks and 1,685 pieces of artillery to Afghanistan. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. "
6856,1984,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"The Soviet Army continued to do a lot of the fighting in 1984, as the Afghan Army had persisting manpower problems. Soviet troops were estimated to number around 115 000 in 1984 and another 50 000 was in November deployed just north of the Soviet-Afghan border. These troops were airborne and could be flown in to Afghanistan when needed. A large number of Afghans, around 10 000 in 1984, received military training in the USSR. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. "
6859,1985,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"The Soviet Army continued to do a lot of the fighting in 1985, as the Afghan Army had persisting manpower problems. Soviet troops were estimated to number around 115 000 in 1985. A large number of Afghans, around 10 000 in 1985, received military training in the USSR. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. "
6862,1986,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"The Soviet Army continued to do a lot of the fighting in 1986. Soviet troops were estimated to number around 118 000 in 1986. On 28 July, Soviet leader Mikhail Gorbachev announced a limited withdrawal of troops from Afghanistan in order to stimulate talks to end the conflict in Afghanistan. On 15 October, 8000 of the estimated 118 000 Soviet troops in Afghanistan left the country. The Soviets made it clear though, that further reduction of forces in Afghanistan would depend on a political solution for the country. A large number of Afghans received military training in the USSR. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. "
6865,1987,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"In 1987, the Soviets were getting closer to a withdrawal of troops from Afghanistan, and launched fewer offensives than in previous years. Furthermore, the delivery of advanced anti-aircraft missiles to the Mujahideen made Soviet air support less effective, which resulted in difficulties for large-scale operations against rebel strongholds. Nevertheless, the Soviet Army continued to do a lot of the fighting during the year. Soviet troops were estimated to number around 110 000 in 1987. A large number of Afghans received military training in the USSR. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. "
6868,1988,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,"Soviet Union supported Government of Afghanistan with: Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support. ",1,0,0,1,1,1,1,0,0,0,"In 1988, the Soviets started to withdraw their around 110 000 troops from Afghanistan, in line with the Geneva accords signed on 14 April that year. By August half of the troops had left the country and in February 1989, the last Soviet troops left Afghanistan. There are no reliable figures of how much money the Soviet Union spent on Afghanistan. China estimated the daily cost at between $3 and $4 million in 1981, while another estimate was $10 to $12 million a day. In 1989, Soviet Premier Nikolai Ryzhkov estimated that the intervention cost the Soviet Union about $5 billion per year. "
8918,1984,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; Saudi Arabia; China; Pakistan,"United States:WM$, Saudi Arabia:W$, China:W, Pakistan:MT","United States supported Harakat-i Inqilab-i Islami-yi Afghanistan with: Weapons, Materiel/Logistics, Funding/Economic Support. Saudi Arabia supported Harakat-i Inqilab-i Islami-yi Afghanistan with: Weapons, Funding/Economic Support. China supported Harakat-i Inqilab-i Islami-yi Afghanistan with: Weapons. Pakistan supported Harakat-i Inqilab-i Islami-yi Afghanistan with: Materiel/Logistics, Training/Expertise. ",0,0,0,1,1,1,1,0,0,0,"The resistance groups in Afghanistan were supported by many governments and private donors; although many of them did not openly admit that they were giving aid to the Mujahideen. The rebel groups themselves also denied that they were receiving training and weapons from foreign sources. Instead, they claimed that their weapons were captured from the Afghan army and that former Afghan soldiers, who had now joined the resistance, were providing them with training.   Although the United States had started to support the Mujahideen on a small scale already in 1979, it was not until after the Soviet invasion that the rebels could count on extensive American aid. While the United States continued to officially deny their involvement in Afghanistan, Carter, on 9 January 1980, authorised a program of covert military assistance to the Moslem insurgents. His successor Reagan expressed in March 1981 his willingness to supply the Mujahideen. In a joint action with Saudi Arabia, Egypt, and to some extent, China, the United States started transferring large quantities of arms to the resistance groups in Afghanistan. Until 1985 only communist-block weapons were bought, in an attempt to hide the fact that the United States were giving the Mujahideen material support. Weapons from China and Egypt were shipped to Karachi or, on some occasions, flown to Islamabad in American, Saudi, Chinese or Pakistani planes. When in Pakistan, all military aid was handled by the Pakistan Inter-Services Intelligence, ISI, who transported the arms to the Afghan resistance groups' headquarters in Quetta and Peshawar and distributed them among the seven Sunni parties. The parties then brought the arms to border dumps for the commanders in Afghanistan to come and pick them up.  In Pakistan, the question of aid to the Afghan rebels was politically sensitive, as they worried about Soviet retaliation if it was revealed that the Pakistani government supported the Mujahideen. There is no evidence that Pakistan provided weapons for the rebels, but they handled almost all the aid, military and financial, that was given to the Mujahideen by others. Pakistan only recognized seven resistance groups in 1984; Mahaz-i Milli-yi Islami-yi Afghanistan, Jabha-yi Nijat-i Milli-yi Afghanistan, Harakat-i Inqilab-i Islami-yi Afghanistan, Jam'iyyat-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction. All the support for the Mujahideen that was distributed by Pakistan was divided among those seven on a percentage basis, where Harakat-i Inqilab-i Islami-yi Afghanistan received around 13-15 percent of the resources. Pakistan also administered training for the Afghan resistance and from 1981 there were Pakistani soldiers situated in Afghanistan as military advisers to the commanders.  The bulk of the weapons that the United States and Saudi Arabia provided for the Mujahideen was purchased in Egypt and China, but both Egypt and China also sporadically provided weapons as aid. Egypt openly stated that they supported the Afghan resistance. Defence Minister Kamal Hassan announced in early 1980 that Egypt would provide training to the Afghan fighters, and that the combatants would return to Afghanistan with Egyptian weapons. In December 1980 Egyptian President Anwar Sadat said in a TV-interview that Egypt would send more arms, as well as medicine and food, to the Moslem rebels in Afghanistan. When President Sadat was assassinated in October 1981, aid to the Afghan Mujahideen decreased significantly and possibly stopped. How many guerrillas that received training in Egypt, and how many arms that were given to the Afghan resistance by Egypt remains unknown. China, on the other hand, never admitted that they supported the Mujahideen.  One of the largest donors was Saudi Arabia which contributed roughly the same amount of money as the United States. In 1984 they provided around $80 million each. Although most of the weapons bought by the United States and Saudi Arabia for the Afghan resistance were shipped to Pakistan, Saudi Arabia occasionally flew in arms deliveries to airports in Rawalpindi and Islamabad.  Iran made several statements supporting the Afghan resistance, but supplied little, if any, material aid to the rebel groups.  There are also reports that the Gulf States were providing the Moslem guerrillas with financial aid. However, large parts of the funds seem to have been donated by individuals and it is unclear if the governments of these states were involved in supporting the Afghan resistance. "
