external_id,ywp_id,ywp_year,ywp_name,actorID,bc_id,conflictID,bc_name,bwd_id,bwd_name,country1,country2,locationid1,locationid2,external_exists,external_name,external_nameid,external_alleged,external_type_X,external_type_Y,external_type_L,external_type_W,external_type_M,external_type_T,external_type_$,external_type_I,external_type_O,external_type_U,external_type_text,external_type_code
3,6844,1980,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
4,6847,1981,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
5,6850,1982,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
6,6853,1983,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
7,6856,1984,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
8,6859,1985,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
9,6862,1986,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
10,6865,1987,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
11,6868,1988,Government of Afghanistan,700,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Soviet Union,365,0,1,0,0,1,1,1,1,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",XWMT$
12,8918,1984,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
13,8918,1984,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
14,8918,1984,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
15,8918,1984,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,China,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
16,8927,1985,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Saudi Arabia,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
17,8927,1985,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,United States,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
18,8927,1985,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,1,Pakistan,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
