intervener,target,start,end,source,direction,type,amount,air,naval,size_naval,firing_outside,intervener_casualties,target casualties,domestic_dispute,affect_policies,social_protective,pursuit_border,economic,strategic,humanitarian,territorial,military/diplomatic,contiguity,int_contig,description
200,210,19460101,19461129,2,2,5,4,4,4,9,9,999,999,1,0,9,0,9,1,9,9,9,0,0,Indon. Insurg.-NYT/Jessup
220,652,19460102,19460415,2,2,5,1,9,0,9,9,999,999,1,0,9,9,9,9,0,9,1,0,0,General Strike--NYT/Jessup
365,630,19460119,19460509,2,4,4,4,9,0,9,0,999,999,1,0,1,0,1,1,0,9,9,1,1,Azerbaijan-Butterw/Heravi/Kapl
220,710,19460305,19460331,1,1,4,9,9,9,9,9,999,999,9,1,9,9,1,1,0,1,9,1,1,Take Admin.--Viet Backgrnd
220,812,19460317,19460930,1,3,5,9,9,9,9,9,999,999,0,1,0,1,1,1,0,1,9,0,1,Take Colong-Adams/Champassak
211,200,19460401,19490921,1,1,3,4,9,0,9,0,999,999,0,1,0,0,9,1,0,9,9,1,1,Join German Occup.--NYT
345,200,19460712,19480430,1,3,5,1,9,9,9,9,2,999,0,1,1,0,9,9,9,1,9,1,1,Trieste--NYT/Jessup
345,2,19460712,19480430,1,3,5,1,9,9,9,9,2,999,0,1,1,0,9,9,9,1,9,1,1,Trieste--NYT/Jessup
200,645,19460718,19471026,1,5,4,2,2,4,1,0,0,999,9,9,9,9,1,1,0,9,9,0,0,Iran Strike-NYT/Btrw/Ks/Fof
663,652,19460813,19460831,1,3,5,1,9,0,9,9,1,999,9,1,9,9,9,9,9,9,9,1,1,"Retal. for ""Shelling""--NYT"
220,800,19460930,19461231,1,6,4,9,9,9,9,9,999,999,9,1,0,1,9,1,0,9,9,1,1,Lao Rebel-Adams/Champassak
200,339,19461112,19461113,1,3,0,0,9,3,2,0,0,0,0,1,0,0,9,9,0,9,0,0,0,Corfu Channel--Butterworth
390,200,19461231,19490921,1,1,3,2,9,0,9,0,999,999,0,1,0,0,9,1,0,9,9,1,1,Join German Occup.--NYT
385,200,19470228,19490921,1,1,3,2,9,9,9,0,999,999,0,1,0,0,9,1,0,0,9,0,0,Join German Occup.--NYT
2,450,19470429,19471231,1,2,4,1,2,0,9,0,999,999,9,1,0,0,9,0,1,0,1,0,0,Protect Garrison-FoF/NYT
712,710,19470605,19470624,1,3,5,1,3,0,9,9,999,2,9,1,9,0,1,9,9,9,1,1,1,Repat.Soldiers-Jessup/NYT
1,850,19470825,19510331,4,0,2,1,2,2,1,0,999,999,0,1,9,0,0,0,1,0,9,9,0,Indon Indep-Wainhouse/Riggs-P
750,753,19471005,19471110,1,3,4,2,9,0,9,0,999,1,0,1,9,0,9,9,0,1,9,1,1,Junagadh--Donelan
750,754,19471027,19471028,1,2,5,2,4,0,9,0,999,999,1,0,9,0,1,1,9,1,9,1,1,Kashmir Ceded--Disputes 87/NYT
1,350,19480105,19540528,4,0,2,1,2,0,9,0,2,0,0,1,0,0,0,1,9,0,9,9,0,Blkans-Rgs-P/Butterw/Hgns/UNYB
93,94,19480315,19480423,1,1,4,1,4,9,9,9,999,999,1,0,9,0,9,9,0,9,9,1,1,C.R. Civ. War--FoF/NYT
2,100,19480412,19480412,1,0,0,0,1,0,9,0,0,0,9,0,0,0,9,0,1,0,9,0,9,Evac. Women--NYT
200,663,19480515,19570707,2,1,5,2,3,9,9,9,999,998,9,1,9,9,9,1,0,1,1,0,1,Pal.War-Khouri/Keesngs/NYT/FoF
625,651,19480515,19551231,2,1,5,1,0,0,9,9,999,998,0,1,0,0,9,1,9,0,9,1,1,Army Command--Khouri
645,666,19480515,19490107,1,3,5,2,9,9,9,9,999,998,1,0,1,0,9,1,9,2,9,0,0,Pales. War--Khouri/Disp82
651,666,19480515,19490224,1,3,5,4,4,5,9,1,998,998,1,0,1,0,9,1,9,2,9,1,1,Pales.War-Khouri/Disp82/FoF/Ks
652,666,19480515,19490720,1,3,5,2,9,9,9,9,999,998,1,0,1,0,9,1,9,2,9,1,1,Pales. War--Khouri/Disp82
660,666,19480515,19490323,1,3,5,2,9,9,9,9,999,998,1,0,1,0,9,1,9,2,9,1,1,Pales. War--Khouri/Disp82
663,666,19480515,19490403,1,3,5,3,9,9,9,1,998,998,1,0,1,0,9,1,9,2,9,1,1,Pales-Khouri/Disp82/Gldsch/FoF
666,663,19480515,19490403,1,3,9,9,4,9,9,9,999,999,9,1,0,9,9,1,0,2,9,1,1,Pales. War--NYT/Jessup
670,666,19480515,19490107,1,3,5,1,9,9,9,9,999,998,1,0,1,0,9,1,9,2,9,2,2,Pales. War--Khouri/Disp82
678,666,19480515,19490107,1,3,5,1,9,9,9,9,999,998,1,0,1,0,9,1,9,2,9,0,0,Pales. War--Khouri/Disp82
770,750,19480515,19490131,1,3,5,2,9,0,9,9,999,999,1,0,1,0,1,1,9,2,9,1,1,Kashmir--Disputes 82/NYT
666,660,19480523,19490731,1,3,5,9,9,9,9,9,999,999,9,1,9,1,1,1,0,2,9,1,1,Pales. War--Khouri
666,652,19480525,19490720,1,3,5,9,4,9,9,9,999,998,0,1,0,9,9,1,0,2,9,1,1,Pales. War--NYT
1,660,19480531,19881231,4,0,2,1,2,9,9,0,21,0,0,1,0,0,0,9,1,0,9,9,0,UNTSO-Wainhse/Butterw/R-P/UN
1,663,19480531,19881231,4,0,2,1,2,9,9,0,21,0,0,1,0,0,0,9,1,0,9,9,0,UNTSO-Wainhse/Butterw/R-P/UN
1,651,19480531,19881231,4,0,2,1,2,9,9,0,21,0,0,1,0,0,0,9,1,0,9,9,0,UNTSO-Wainhse/Butterw/R-P/UN
1,652,19480531,19881231,4,0,2,1,2,9,9,0,21,0,0,1,0,0,0,9,1,0,9,9,0,UNTSO-Wainhse/Butterw/R-P/UN
1,666,19480531,19881231,4,0,2,1,2,9,9,0,21,0,0,1,0,0,0,9,1,0,9,9,0,UNTSO-Wainhse/Butterw/R-P/UN
750,755,19480726,19480917,1,3,5,9,4,0,9,9,999,25,0,1,9,0,9,9,0,1,9,1,1,Hyderabad--NYT
750,770,19480821,19490131,1,3,9,9,4,0,9,9,999,999,0,1,0,1,9,1,0,1,0,1,1,Kashmir--NYT
345,350,19480908,19480909,1,3,4,1,0,0,9,1,20,999,9,1,9,9,9,9,0,1,0,1,1,Balkans--Facts on File/NYT
666,651,19481228,19490107,1,3,5,4,4,9,9,9,998,998,0,1,0,9,9,1,9,2,9,1,1,Pales. War--Khouri/Disp82
350,355,19481231,19490604,1,6,5,9,9,0,9,9,999,999,0,1,0,1,0,1,0,9,0,1,1,Balkans/GrCivWar--NYT/Riggs-P
750,709,19481231,19501231,2,1,3,1,9,0,9,0,999,999,9,1,0,9,1,9,0,9,1,1,1,Protect Trade Rts.--NYT
1,750,19490101,19881231,4,0,2,1,2,0,9,0,0,0,0,1,9,0,0,0,1,1,9,9,0,UNMOGIP-Riggs&P/Butter/Wainhse
1,770,19490101,19881231,4,0,2,1,2,0,9,0,0,0,0,1,9,0,0,0,1,1,9,9,0,UNMOGIP-Riggs&P/Butter/Wainhse
750,761,19490608,19501231,1,2,4,9,9,0,9,0,999,999,1,0,9,0,9,1,9,9,9,1,1,Quell Rebel.-Maxwell/LTimes
770,700,19490612,19490612,1,6,0,0,4,0,9,9,999,41,9,1,0,1,9,9,0,1,9,1,1,Tribal Disp.--Disp. 82/NYT
339,350,19490813,19490814,1,4,5,9,9,0,9,1,20,999,1,0,9,0,9,1,9,9,9,1,1,Balkans-- Keesings
350,339,19490814,19490814,1,3,5,9,9,0,9,1,999,999,0,1,9,1,9,1,0,9,0,1,1,Balkans--Keesings
339,345,19491231,19531212,1,3,5,9,9,0,9,1,999,999,0,1,9,0,9,9,9,1,0,1,1,Cominform/Kosovo-- Disputes 82
710,713,19500416,19580823,1,3,9,9,9,9,9,1,999,999,9,1,9,0,9,1,0,1,0,2,2,Taiwan Str.-Jessup/NYT/Kees
713,710,19500430,19501231,1,3,0,0,4,9,9,9,999,999,9,1,0,0,9,1,0,1,0,2,2,Tai. Str. Bomb Cities-Keesings
731,732,19500625,19501001,1,3,5,4,4,4,1,9,998,998,0,1,9,0,9,1,9,1,0,1,1,Kor War-Rees/Disputes82/Lukacs
2,732,19500627,19500707,1,1,5,1,4,5,2,1,998,998,0,1,0,0,9,1,9,0,9,0,1,Korean War--Rees/Disputes82
2,731,19500630,19500707,1,3,0,0,4,4,2,1,999,999,0,1,0,0,9,1,0,0,0,0,1,Korean War--NYT
666,651,19500630,19501231,1,6,5,1,2,0,9,1,999,999,9,1,0,1,9,1,0,1,9,1,1,Gaza Raids--Khouri/NYT
1,732,19500708,19530726,4,1,5,4,4,5,2,9,998,998,0,1,9,0,9,1,9,0,9,9,0,Korean War--Rees
1,710,19500827,19500922,4,3,0,0,4,9,9,0,0,41,0,1,0,0,9,1,0,0,0,9,9,Korean War--NYT
666,663,19500907,19881231,1,3,4,1,9,0,9,9,6,999,9,1,0,9,1,9,0,2,9,1,1,Occup. Territ.--NYT/FoF/Khouri
1,731,19501001,19530726,4,3,5,4,4,5,2,9,998,998,0,1,0,0,9,1,9,0,9,9,1,Korean War--Rees
732,731,19501001,19530726,1,3,5,4,4,9,9,1,998,998,0,1,9,0,9,1,9,1,0,1,1,Korean War--Rees
710,709,19501007,19510523,1,3,5,4,9,0,9,9,999,999,0,1,9,0,1,9,0,1,9,1,1,Tibet--Jessup
1,365,19501008,19501231,4,3,0,0,4,9,9,0,0,999,0,1,0,0,9,1,0,0,0,9,9,Korean War--Rees
710,731,19501014,19530726,1,1,5,4,4,9,9,9,998,998,0,1,0,0,9,1,9,9,9,1,1,Korean War--Rees
710,732,19501201,19530726,1,3,5,4,4,9,9,1,998,998,0,1,0,0,9,1,0,9,0,0,1,Korean War--Lukacs
731,732,19501201,19530726,1,3,5,4,4,9,9,1,998,998,0,1,9,0,9,1,9,1,0,1,1,Korean War--Lukacs
710,775,19510131,19531231,1,5,3,2,9,0,9,9,999,999,9,1,9,1,9,1,0,9,9,1,1,Border Sanctuaries--NYT
750,790,19510224,19511231,1,2,4,9,9,0,9,9,999,999,1,0,0,0,9,1,9,9,9,1,1,Nepal Rebel.--NYT/Rose&Scholz
652,666,19510401,19510509,1,3,5,9,9,0,9,1,999,7,9,1,9,0,1,1,0,2,9,1,1,Huleh Drainage--NYT
666,652,19510406,19510509,1,3,9,9,4,0,9,1,7,999,0,1,0,9,1,1,0,1,1,1,1,Huleh Drainage--NYT
645,652,19510506,19581231,1,5,3,9,3,0,9,0,999,999,9,1,0,0,9,1,0,0,9,1,1,Deter Isr.--Keesings/LTms
666,663,19510523,19510630,1,3,5,1,0,0,9,9,999,999,9,1,0,9,9,1,0,1,9,1,1,Border Clashes-FoF/LTimes
135,130,19510809,19510821,1,3,9,9,0,0,9,1,999,4,0,1,0,0,1,0,0,1,0,1,1,Old Border Dispute-NYT/FoF
2,840,19511025,19511231,2,2,3,1,9,9,9,9,3,999,1,0,0,0,9,1,9,0,1,0,0,Huk. Rebel--NYT
310,345,19511228,19531024,1,3,4,9,9,9,9,9,999,999,0,1,9,0,9,9,9,2,0,1,1,Cominform/island--NYT
355,350,19520727,19520807,1,3,5,1,9,2,1,9,999,4,9,1,9,0,1,9,0,2,9,1,2,Bul-Gr Is.-NYT/Keesings
235,710,19520730,19520731,1,3,0,0,0,5,1,1,999,999,0,1,9,0,1,1,0,1,1,1,1,Border Clash--NYT
200,698,19520831,19720112,2,1,5,1,9,9,9,0,999,999,9,1,9,9,1,1,0,1,9,0,9,Buraimi Oasis-Butterw/NYT/D82
2,740,19530216,19530216,2,5,0,0,3,9,9,0,0,0,0,1,0,0,9,1,0,9,1,0,0,Attack USSR planes--NYT/Kees.
130,135,19530229,19530229,1,9,3,1,0,9,9,0,0,0,0,1,9,0,9,0,0,2,0,1,1,Insp. Border Markers--NYT
666,663,19530518,19541231,1,3,5,1,9,0,9,1,3,67,9,1,0,1,9,9,0,1,9,1,1,Retal Raids-Khouri/Jessup/NYT
365,265,19530617,19530712,2,1,4,4,9,0,9,0,999,999,1,0,0,0,9,1,0,9,9,0,0,E. Ger. Riots--NYT/Butterworth
1,731,19530726,19841231,4,3,5,1,2,9,9,1,20,20,0,1,0,9,9,1,9,1,1,1,1,DMZ Skirmishes--NYT/LTms
731,1,19530726,19841231,1,3,5,1,9,9,9,1,20,20,0,1,0,9,9,1,9,1,9,1,1,DMZ Skirmishes--NYT/LTms
775,800,19531011,19531011,1,6,0,0,4,0,9,0,0,7,0,9,0,1,9,1,0,9,0,1,1,KMT Suppression--NYT
652,666,19540316,19551211,1,3,0,0,0,9,9,1,63,6,0,1,9,0,1,9,0,2,9,1,1,Gal. Attacks-Khouri/NYT/FoF
